rankingNum,universidadName,presenciaPosicion,impactoPosicion,aperturaPosicion,excelenciaPosicion
1,Harvard University,1,2,1,1
2,Stanford University,5,3,3,3
3,Massachusetts Institute of Technology,2,1,10,10
4,University of California Berkeley,20,4,18,18
5,University of Washington,27,5,9,9
6,University of Michigan,13,9,8,8
7,University of Oxford,25,13,5,5
8,(2) Johns Hopkins University,397,22,2,2
9,Columbia University New York,69,8,14,14
10,Cornell University,8,6,26,26
11,University of Pennsylvania,21,12,15,15
12,University of Cambridge,37,19,12,12
13,University of California Los Angeles UCLA,102,17,16,16
14,Yale University,61,10,23,23
15,University of Wisconsin Madison,12,15,37,37
16,University of California San Diego,64,27,21,21
17,University of Minnesota System,31,16,39,39
18,UCL University College London,110,47,7,7
19,University of Toronto,97,34,11,11
20,(2) Pennsylvania State University,69,11,51,51
21,Princeton University,40,7,90,90
22,University of Texas Austin,87,18,57,57
23,University of Chicago,4,21,60,60
24,New York University,146,24,42,42
25,Northwestern University,209,32,32,32
26,University of North Carolina Chapel Hill,72,31,47,47
27,University of British Columbia,30,46,34,34
28,University of Illinois Urbana Champaign,33,30,58,58
29,University of Southern California,69,25,64,64
30,University of Florida,54,29,62,62
31,Ohio State University,104,41,41,41
32,University of California Irvine,405,14,111,111
33,University of Maryland College Park,93,26,80,80
34,(2) California Institute of Technology Caltech,49,52,45,45
35,Tsinghua University / 清华大学,411,92,6,6
36,Purdue University,149,23,97,97
37,Carnegie Mellon University,150,20,141,141
38,Michigan State University,85,28,100,100
39,Washington University Saint Louis,218,44,66,66
40,University of Pittsburgh,160,48,56,56
41,Imperial College London,343,98,19,19
42,University of Hong Kong,225,129,4,4
43,University of Edinburgh,154,54,53,53
44,University of Arizona,67,33,110,110
45,Boston University,191,42,83,83
45,Rutgers The State University of New Jersey,152,38,87,87
47,University of Melbourne,221,91,24,24
48,University of California San Francisco,418,88,29,29
49,University of Colorado Boulder,188,39,94,94
50,Arizona State University,105,36,118,118
51,National University of Singapore,110,102,30,30
51,Peking University / 北京大学,143,115,13,13
53,University of New South Wales,306,81,46,46
54,University of Queensland,245,97,35,35
55,Texas A&M University,182,43,116,116
56,Georgia Institute of Technology,225,58,79,79
57,McGill University,183,67,65,65
58,University of Virginia,193,37,137,137
59,Vanderbilt University,280,68,71,71
60,Utrecht University / Universiteit Utrecht,176,96,43,43
61,University of Utah,202,50,113,113
62,University of Manchester,347,99,52,52
63,University of Sydney,716,128,22,22
64,University of Amsterdam / Universiteit van Amsterdam,253,126,40,40
65,University of Tokyo / 東京大学,66,106,48,48
65,University of Alberta,328,87,77,77
65,University of California Santa Barbara,114,53,159,159
68,(2) Universidade de São Paulo USP,6,131,63,63
69,King's College London,559,139,50,50
70,North Carolina State University,87,49,183,183
70,Brown University,495,57,151,151
72,University of Copenhagen / Københavns Universitet,87,170,38,38
73,Monash University,421,157,44,44
74,University of Iowa,271,65,147,147
75,Australian National University,159,77,140,140
76,Indiana University Bloomington,395,40,221,221
77,Duke University,46,314,25,25
77,Virginia Polytechnic Institute and State University,201,56,192,192
79,Catholic University of Leuven,128,171,54,54
80,Shanghai Jiao Tong University / 上海交通大学,372,172,28,28
81,Zhejiang University (National Che Kiang University) / 浙江大学,290,208,33,33
82,University of Groningen / Rijksuniversiteit Groningen,190,144,74,74
83,University of Helsinki / Helsingin yliopisto,17,124,124,124
84,University of Waterloo,187,85,168,168
85,Tufts University,32,51,267,267
86,University of Oslo / Universitetet i Oslo,34,122,133,133
87,Technische Universität München,215,164,75,75
88,University of Rochester,499,82,188,188
89,City University of New York,155,59,259,259
90,Ghent University / Universiteit Gent,41,221,69,69
91,Iowa State University,230,71,219,219
92,Nanyang Technological University,307,255,49,49
92,University of Massachusetts Amherst,288,72,227,227
94,University of Georgia,256,66,251,251
95,University of Leeds,670,110,142,142
96,Ludwig Maximilians Universität München,177,137,91,91
97,Kyoto University / 京都大学,50,163,98,98
98,Ruprecht Karls Universität Heidelberg,67,153,112,112
99,University of Calgary,409,120,146,146
99,Uppsala University / Uppsala Universitet,292,156,105,105
101,Oregon State University,197,63,278,278
102,University of Maryland Baltimore,1803,276,27,27
103,Universität Zürich,237,200,86,86
104,University of Adelaide,579,142,123,123
104,University of Delaware,577,45,361,361
106,University of Warwick,491,112,157,157
107,University of Illinois Chicago,588,100,184,184
108,University at Buffalo,459,78,231,231
109,Chinese University of Hong Kong,133,159,130,130
110,Lund University / Lunds Universitet,27,176,119,119
110,University of Nottingham,602,151,117,117
112,Delft University of Technology TU Delft,233,127,148,148
113,Colorado State University,581,60,294,294
114,Università di Bologna (Università degli Studi di Bologna),80,193,107,107
115,Rice University,342,75,279,279
116,Florida State University,429,79,262,262
117,University of Nebraska Lincoln,78,64,310,310
118,Fudan University (Shanghai Medical University) / 复旦大学,165,192,84,84
119,Aarhus University / Aarhus Universitet,117,257,76,76
120,University of Tennessee Knoxville,482,95,208,208
121,Dartmouth College,518,73,293,293
122,Eidgenössische Technische Hochschule ETH Zürich / Swiss Federal Institute of Technology Zurich,38,547,31,31
123,Bristol University,488,213,96,96
123,(2) Tel Aviv University,94,173,144,144
125,National Taiwan University,19,138,170,170
126,Universitat de Barcelona,87,191,131,131
127,(1) Seoul National University / 서울대학교,94,305,82,82
128,University of California Riverside,147,108,253,253
129,VU University of Amsterdam / Vrije Universiteit Amsterdam,519,279,67,67
130,University of Miami,540,119,206,206
131,University of Science & Technology of China / 中国科学技术大学,670,232,72,72
132,University of Kentucky,231,90,271,271
133,University of Western Australia,590,206,120,120
133,George Washington University,653,69,297,297
135,Simon Fraser University,196,70,329,329
136,Temple University,793,101,239,239
137,University of Connecticut,426,107,242,242
138,University of California Santa Cruz,338,93,284,284
139,University of Glasgow,365,111,129,129
140,Università degli Studi di Roma La Sapienza,181,371,61,61
141,McMaster University,649,166,169,169
142,University of Sheffield,1661,186,125,125
143,Newcastle University Newcastle upon Tyne,604,155,164,164
144,(2) Universidad Nacional Autónoma de México,3,105,326,326
145,University of Kansas,490,118,222,222
146,University of South Florida,161,80,366,366
147,Georgetown University,524,61,399,399
148,Washington State University Pullman,462,74,352,352
149,Universität Wien,91,117,260,260
150,University of Notre Dame,386,89,323,323
151,Université de Geneve,355,158,194,194
152,Case Western Reserve University,901,145,200,200
153,Karlsruhe Institute of Technology (Universität Karlsruhe),203,175,174,174
154,Karolinska Institute / Karolinska Institutet,503,428,68,68
154,University of New Mexico,272,109,282,282
156,Universität Hamburg,200,182,145,145
157,University of Auckland,369,195,172,172
158,University of Missouri Columbia,448,94,346,346
159,Università degli Studi di Padova,245,381,85,85
160,Rheinisch Westfalische Technische Hochschule Aachen,173,190,173,173
161,Rheinische Friedrich Wilhelms Universität Bonn,606,211,154,154
162,Université de Montréal,353,167,223,223
162,Wageningen University & Research Centre,110,286,151,151
164,Royal Institute of Technology / Kungliga Tekniska Högskolan,313,185,195,195
165,Università degli Studi di Milano,483,356,99,99
166,Wuhan University / 武汉大学,442,236,122,122
167,University of Exeter,806,188,198,198
168,University of Alabama Birmingham,1046,201,166,166
169,Nanjing University / 南京大学,806,313,89,89
169,Western University (University of Western Ontario),670,179,211,211
171,Technical University of Denmark / Danmarks Tekniske Universitet,191,300,150,150
172,Queen Mary University of London,843,240,161,161
173,George Mason University,402,62,502,502
174,University of Gothenburg / Göteborgs Universitet,117,253,190,190
175,Universität Bern,391,259,155,155
176,University of Cincinnati,1198,150,238,238
177,University of Houston,653,104,372,372
178,University of Oregon,219,84,466,466
178,City University of Hong Kong,663,247,163,163
180,London School of Economics and Political Science,466,86,468,468
181,University of Bergen / Universitetet i Bergen,57,194,263,263
182,Northeastern University,689,121,291,291
183,M D Anderson Cancer Center University of Texas,3113,390,109,109
184,Charles University in Prague / Univerzita Karlova v Praze UK,16,215,212,212
185,Freie Universität Berlin,240,130,325,325
186,(2) Universidad Complutense de Madrid,97,212,276,276
187,University of York,648,161,304,304
187,(1) Norwegian University of Science & Technology / Norges Teknisk-Naturvitenskapelige Universitet,155,266,205,205
189,Universidade do Porto,83,288,193,193
190,Emory University,491,643,73,73
191,Stockholm University / Stockholms Universitet,304,306,181,181
192,University of Colorado Denver,1355,347,136,136
193,Université d'Ottawa / University of Ottawa,624,229,218,218
194,Hong Kong University of Science & Technology,576,249,213,213
195,University of Oklahoma,1012,143,296,296
196,Queen's University Kingston,839,133,358,358
196,Harbin Institute of Technology / 哈尔滨工业大学,698,470,78,78
198,Virginia Commonwealth University,929,149,306,306
199,Technische Universität Dresden,528,268,197,197
200,Università degli Studi di Napoli Federico II,425,493,106,106
200,Wayne State University,852,187,266,266
200,Osaka University / 大阪大学,223,359,167,167
203,Stony Brook University,1023,270,219,219
204,Universität Freiburg,445,222,240,240
205,Xi'An Jiaotong University / 西安交通大学,439,439,102,102
206,Università di Pisa (Università degli Studi di Pisa),328,328,178,178
206,Universitat Autònoma de Barcelona,126,355,162,162
208,Hebrew University of Jerusalem,270,217,314,314
209,Huazhong University of Science & Technology / 华中科技大学,8559,426,59,59
210,Louisiana State University,670,114,414,414
211,Lomonosov Moscow State University / Московский государственный университет М В Ломоносова,75,204,261,261
211,Hong Kong Polytechnic University,707,376,153,153
213,Eindhoven University of Technology / Technische Universiteit Eindhoven,406,198,300,300
214,University of Victoria British Columbia,562,135,389,389
215,(1) Universitat de València,114,308,229,229
216,University of Central Florida,590,136,409,409
217,Linköping University / Linköpings Universitet,312,180,322,322
217,University of Liverpool,1373,338,158,158
219,Curtin University of Technology,986,296,207,207
220,Universität Tubingen,499,285,233,233
221,York University,459,125,439,439
221,Cardiff University,1274,321,191,191
223,Aalto University / Aalto-yliopisto,249,251,255,255
223,Shandong University / 山东大学,689,364,134,134
225,Universidad de Granada,85,302,269,269
226,Humboldt Universität zu Berlin,261,205,302,302
227,Universidade Estadual de Campinas UNICAMP,83,284,285,285
228,University of Saint Andrews,167,162,402,402
228,Trinity College Dublin,788,199,327,327
230,Drexel University,886,132,408,408
231,Universidade Federal do Rio de Janeiro,297,189,342,342
232,Macquarie University,638,250,280,280
233,Universität zu Köln,386,209,308,308
233,National and Kapodistrian University of Athens,377,388,225,225
235,Tohoku University / 東北大学,298,417,196,196
236,University of California Davis,80,35,55,55
236,Universität Münster,449,297,217,217
236,Politecnico di Milano,356,336,224,224
239,University of Twente / Universiteit Twente,554,202,349,349
240,University of Technology Sydney,831,294,246,246
241,Dalhousie University,929,216,318,318
242,Georgia State University,839,113,508,508
243,Brigham Young University,273,76,656,656
244,University of Leicester,495,203,363,363
245,Radboud University / Radboud Universiteit Nijmegen,356,363,244,244
246,Sun Yat Sen University (Zhongshan University) / 中山大学,6233,453,93,93
